ID COLLEGE GRADE LC1 LC2 LC3 LC4 LCTOTAL RC1 RC2 RC3 RCTOTAL
289 2 4 10 11 10 8 110 12 4 19 95
290 2 4 5 16 11 8 115 14 4 14 80
291 2 4 9 13 11 8 120 8 6 12 50
292 2 4 7 13 7 9  95 15 4 12 75
293 2 3 9 7 8 12  95 9 7 13 65
294 2 4 6 8 12 8  85 10 4 10 40
295 2 4 7 12 9 5  80 10 3 11 40
296 2 4 7 17 6 5  90 8 7 6 25
297 2 4 5 8 9 6  55 7 8 9 40
301 3 3 18 28 28 16 430 32 13 36 345
302 3 4 14 27 24 16 360 35 14 35 370
303 3 4 15 27 21 14 330 32 10 35 305
304 3 4 17 23 18 15 290 30 14 30 290
305 3 4 16 23 20 13 280 27 12 35 290
306 3 4 13 20 24 13 265 27 8 34 265
307 3 4 14 17 18 15 235 32 12 30 290
308 3 4 14 22 20 11 250 27 14 28 265 
309 3 4 14 20 15 14 230 28 12 25 245
310 3 4 14 20 19 9 225 27 12 25 240
311 3 4 12 21 15 14 225 23 9 30 230
312 3 3 14 22 14 11 220 26 8 28 230
313 3 4 11 17 16 14 205 25 10 28 235
314 3 4 14 13 18 12 200 23 7 32 230
315 3 4 14 20 18 11 230 19 8 28 195
316 3 3 13 20 17 10 215 22 13 22 205
317 3 4 9 16 11 13 160 26 12 30 260
318 3 4 17 12 9 12 165 25 12 29 250
319 3 3 13 16 15 15 210 22 11 23 200
320 3 3 12 17 13 13 190 26 10 24 220
321 3 3 10 15 13 16 185 28 9 23 220
322 3 4 11 19 15 11 195 26 9 21 200
323 3 4 12 18 13 11 185 24 9 25 210
324 3 4 13 15 13 8 160 27 13 22 230
325 3 4 11 12 15 10 155 24 10 29 235 
326 3 4 14 12 12 10 155 27 13 22 230
327 3 4 11 19 17 12 210 21 11 18 170
328 3 4 11 19 11 13 185 19 9 25 185
329 3 4 13 13 16 10 175 21 7 26 190
330 3 4 13 20 15 7 190 21 11 18 170
331 3 4 10 21 15 8 185 26 8 17 175
332 3 4 13 17 15 8 180 22 6 24 180
333 3 4 9 12 17 10 155 26 8 23 205
334 3 3 11 19 14 8 175 16 9 27 180
335 3 3 11 16 14 9 165 23 8 22 185
336 3 4 8 12 16 12 155 19 11 25 195
337 3 3 12 18 15 9 185 21 8 19 160
338 3 4 12 18 14 11 190 18 8 20 150
339 3 3 10 17 9 9 140 23 7 19 165
340 3 3 9 19 11 5 135 20 7 20 155
341 3 3 11 13 9 7 115 24 5 21 170
342 3 4 10 11 12 5 105 21 7 13 125
401 4 1 20 19 23 17 350 33 15 26 290
402 4 3 13 18 19 16 245 30 12 31 280
403 4 3 14 22 15 13 235 30 10 30 270
404 4 3 15 24 17 15 275 27 7 26 220
405 4 4 14 19 16 13 225 29 14 24 255
406 4 2 14 18 18 9 210 25 14 31 270
407 4 3 17 18 15 11 220 31 10 19 220
408 4 3 15 21 15 10 220 24 9 25 210
409 4 4 16 21 13 10 215 26 7 22 195
410 4 4 9 19 16 12 195 25 9 25 215
411 4 4 13 22 16 10 220 24 13 15 180
412 4 4 14 14 17 10 190 33 11 14 210
413 4 3 17 14 19 11 220 24 8 18 170
414 4 1 12 20 14 15 220 20 9 19 160
415 4 4 14 19 13 7 180 22 9 25 200
416 4 4 17 23 13 10 230 16 4 24 140
417 4 1 12 17 14 12 190 22 7 20 165
418 4 2 12 10 16 6 135 24 7 29 220 
